"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.182,60","3.718","+27","387","+4","179",""
"Segeberg","SE","865,12","2.388","+32","96","+4","73","+2"
"Stormarn","OD","849,93","2.067","+32","226","+3","102",""
"Lübeck","HL","919,44","1.997","+16","214","+1","64",""
"Herzogtum Lauenburg","RZ","909,95","1.795","+28","155","","62",""
"Kiel","KI","591,80","1.465","+23","136","+4","43","+1"
"Schleswig-Flensburg","SL","716,41","1.433","+10","65","","22",""
"Flensburg","FL","1.551,89","1.389","+11","88","+1","28",""
"Rendsburg-Eckernförde","RD","484,65","1.322","+22","125","","21",""
"Ostholstein","OH","649,61","1.303","+19","181","+2","57",""
"Nordfriesland","NF","765,53","1.267","+4","176","+2","44",""
"Steinburg","IZ","506,29","665","+11","49","","7",""
"Neumünster","NMS","806,42","641","","55","","7",""
"Dithmarschen","HEI","376,10","501","+11","41","+1","9",""
"Plön","PLO","333,47","429","+8","70","","12",""
"-"
"Schleswig-Holstein","SH","772,60","22.380","+254","2.064","+22","730","+3"

"Datenstand 23.03.2021 20:19:00"
