"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.797,83","5.683","+14","541","+1","196",""
"Segeberg","SE","1.446,38","4.009","+16","190","+11","88","+1"
"Stormarn","OD","1.433,51","3.500","+12","318","+1","117","+1"
"Herzogtum Lauenburg","RZ","1.590,25","3.149","+38","208","+2","69",""
"Lübeck","HL","1.330,53","2.881","+17","253","","70",""
"Kiel","KI","1.118,34","2.760","+15","228","+2","53",""
"Rendsburg-Eckernförde","RD","790,23","2.166","+5","181","+1","30","+1"
"Ostholstein","OH","1.049,17","2.104","+1","224","+2","65","+1"
"Schleswig-Flensburg","SL","949,01","1.909","+3","79","","28","+1"
"Flensburg","FL","1.925,38","1.736","","106","","29",""
"Nordfriesland","NF","990,65","1.644","","205","+1","51",""
"Steinburg","IZ","1.057,91","1.386","+9","100","","14",""
"Neumünster","NMS","1.344,21","1.078","","83","","9",""
"Dithmarschen","HEI","713,25","950","+4","81","+1","12",""
"Plön","PLO","567,27","730","+2","95","+1","16",""
"-"
"Schleswig-Holstein","SH","1.228,92","35.685","+136","2.892","+23","847","+5"

"Datenstand 10.05.2021 18:57:21"
