"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","199","205","12","0"
"05-09","266","274","7","0"
"10-14","367","355","10","0"
"15-19","611","610","19","0"
"20-24","737","807","22","0"
"25-29","690","760","38","0"
"30-34","670","668","52","0"
"35-39","642","614","36","2"
"40-44","628","585","40","1"
"45-49","634","638","69","3"
"50-54","762","795","72","0"
"55-59","664","690","102","8"
"60-64","428","456","97","10"
"65-69","234","278","88","12"
"70-74","248","213","126","30"
"75-79","264","217","161","39"
"80-84","319","234","200","75"
"85-89","211","108","104","59"
"90+","236","59","73","51"

"Datenstand 11.12.2020 20:15:15"
