"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.901,60","6.011","+12","625","+1","217",""
"Segeberg","SE","1.519,98","4.213","+4","258","","91",""
"Stormarn","OD","1.526,48","3.727","","342","","122",""
"Herzogtum Lauenburg","RZ","1.698,83","3.364","","232","","69",""
"Lübeck","HL","1.432,60","3.102","+4","259","","74",""
"Kiel","KI","1.245,57","3.074","+6","257","+1","55",""
"Rendsburg-Eckernförde","RD","863,92","2.368","+1","201","","34",""
"Ostholstein","OH","1.110,51","2.227","+1","236","","66",""
"Schleswig-Flensburg","SL","976,85","1.965","","85","","30",""
"Flensburg","FL","1.952,00","1.760","+1","110","+1","29",""
"Nordfriesland","NF","1.055,73","1.752","+8","209","","53",""
"Steinburg","IZ","1.132,71","1.484","","128","","19",""
"Neumünster","NMS","1.420,27","1.139","","86","","9",""
"Dithmarschen","HEI","753,79","1.004","+2","87","","15",""
"Plön","PLO","623,22","802","","100","","17",""
"-"
"Schleswig-Holstein","SH","1.308,37","37.992","+39","3.215","+3","900",""

"Datenstand 30.05.2021 19:06:52"
