"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","6"
"02.01.2021","261","31","21"
"03.01.2021","202","36","7"
"04.01.2021","260","33","9"
"05.01.2021","538","51","9"
"06.01.2021","533","36","15"
"07.01.2021","478","31","10"
"08.01.2021","523","37","11"
"09.01.2021","407","30","7"
"10.01.2021","140","14","9"
"11.01.2021","259","43","6"
"12.01.2021","398","38","5"
"13.01.2021","491","36","7"
"14.01.2021","421","29","5"
"15.01.2021","417","45","4"
"16.01.2021","358","25","5"
"17.01.2021","202","21","1"
"18.01.2021","239","20","2"
"19.01.2021","468","32","2"
"20.01.2021","480","33","1"
"21.01.2021","506","19","1"
"22.01.2021","457","13","0"
"23.01.2021","442","13","0"

"Datenstand 23.01.2021 20:25:40"
