"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","698","695","34","1"
"05-09","823","883","15","0"
"10-14","844","1.041","21","0"
"15-19","1.227","1.284","35","0"
"20-24","1.560","1.587","75","0"
"25-29","1.451","1.464","88","0"
"30-34","1.424","1.587","105","2"
"35-39","1.346","1.422","124","2"
"40-44","1.397","1.288","133","1"
"45-49","1.343","1.213","149","3"
"50-54","1.460","1.535","196","9"
"55-59","1.389","1.416","236","20"
"60-64","856","988","231","23"
"65-69","490","569","217","40"
"70-74","495","499","279","72"
"75-79","524","471","349","121"
"80-84","806","524","501","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 14.06.2021 18:48:26"
