"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.143,80","3.596","+53","379","","179","+1"
"Segeberg","SE","828,89","2.288","+41","89","+1","68",""
"Stormarn","OD","807,99","1.965","+21","221","+1","101",""
"Lübeck","HL","898,72","1.952","+19","213","","64",""
"Herzogtum Lauenburg","RZ","877,50","1.731","+21","153","","61",""
"Kiel","KI","568,37","1.407","+23","131","+1","42","+1"
"Schleswig-Flensburg","SL","693,91","1.388","+14","63","","22","+1"
"Flensburg","FL","1.507,20","1.349","+21","85","+3","27",""
"Rendsburg-Eckernförde","RD","465,95","1.271","+30","120","","21",""
"Ostholstein","OH","629,17","1.262","+4","175","+1","57",""
"Nordfriesland","NF","757,07","1.253","+5","174","","44",""
"Neumünster","NMS","791,32","629","+11","55","","7",""
"Steinburg","IZ","478,12","628","+5","49","","7",""
"Dithmarschen","HEI","340,82","454","+5","39","+1","7",""
"Plön","PLO","323,37","416","+2","69","","12",""
"-"
"Schleswig-Holstein","SH","745,29","21.589","+275","2.015","+8","719","+3"

"Datenstand 19.03.2021 20:14:40"
