"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.233,77","7.061","+21","703","+1","229",""
"Segeberg","SE","1.746,55","4.841","+12","382","","94",""
"Stormarn","OD","1.747,24","4.266","","388","","129",""
"Kiel","KI","1.590,40","3.925","+8","299","","60",""
"Herzogtum Lauenburg","RZ","1.928,60","3.819","","268","","75",""
"Lübeck","HL","1.695,84","3.672","","283","","75",""
"Rendsburg-Eckernförde","RD","989,79","2.713","","209","","35",""
"Ostholstein","OH","1.221,71","2.450","+1","244","","67",""
"Schleswig-Flensburg","SL","1.093,68","2.200","+7","93","","31",""
"Nordfriesland","NF","1.258,20","2.088","+5","226","","54",""
"Flensburg","FL","2.293,60","2.068","+8","117","","29",""
"Steinburg","IZ","1.323,53","1.734","+2","150","","21",""
"Neumünster","NMS","1.805,58","1.448","+9","101","+1","9",""
"Dithmarschen","HEI","962,51","1.282","+11","104","+1","20",""
"Plön","PLO","777,86","1.001","","121","","19",""
"-"
"Schleswig-Holstein","SH","1.534,83","44.568","+84","3.688","+3","947",""

"Datenstand 22.08.2021 18:37:20"
