"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","733","735","41","1"
"05-09","884","935","20","0"
"10-14","916","1.095","23","0"
"15-19","1.355","1.395","41","0"
"20-24","1.686","1.744","86","0"
"25-29","1.547","1.566","96","0"
"30-34","1.486","1.666","118","2"
"35-39","1.415","1.485","133","2"
"40-44","1.460","1.333","143","1"
"45-49","1.388","1.266","156","3"
"50-54","1.498","1.585","207","14"
"55-59","1.433","1.455","246","22"
"60-64","886","1.019","242","25"
"65-69","504","582","226","42"
"70-74","503","506","294","75"
"75-79","526","473","357","121"
"80-84","814","530","509","224"
"85-89","651","318","339","198"
"90+","687","195","238","212"

"Datenstand 01.08.2021 18:38:06"
