"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","928","948","50","1"
"05-09","1.288","1.347","26","0"
"10-14","1.440","1.644","28","0"
"15-19","1.765","1.852","51","0"
"20-24","2.050","2.157","103","0"
"25-29","1.899","1.948","130","0"
"30-34","1.841","2.028","154","2"
"35-39","1.742","1.763","166","3"
"40-44","1.782","1.614","177","4"
"45-49","1.611","1.502","173","4"
"50-54","1.703","1.772","238","16"
"55-59","1.565","1.619","279","25"
"60-64","967","1.128","263","25"
"65-69","556","635","247","45"
"70-74","533","535","309","77"
"75-79","554","505","377","123"
"80-84","849","555","529","227"
"85-89","670","332","351","201"
"90+","712","204","247","217"

"Datenstand 12.09.2021 18:36:01"
