"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","468,21","1.472","+151","107","+9","25","+5"
"Segeberg","SE","276,05","762","+34","28","+3","19","+2"
"Stormarn","OD","299,76","729","+43","57","+6","10",""
"Lübeck","HL","316,76","688","+68","24","","9","+1"
"Kiel","KI","220,56","546","+23","63","+2","17","+5"
"Herzogtum Lauenburg","RZ","267,66","528","+25","19","","12","+1"
"Nordfriesland","NF","311,77","516","+29","97","+9","5","+1"
"Ostholstein","OH","221,86","445","+17","66","+2","9",""
"Rendsburg-Eckernförde","RD","160,94","439","+22","49","+1","2",""
"Flensburg","FL","423,44","379","+21","15","+2","7","+1"
"Schleswig-Flensburg","SL","176,48","353","+12","18","","6",""
"Steinburg","IZ","186,53","245","+14","12","","1",""
"Neumünster","NMS","306,97","244","+35","16","+4","1",""
"Dithmarschen","HEI","159,15","212","+19","14","+1","2",""
"Plön","PLO","121,26","156","+10","32","+3","3",""
"-"
"Schleswig-Holstein","SH","266,30","7.714","+523","617","+42","128","+16"

"Datenstand 21.01.2021 21:10:34"
