"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.172,08","6.866","+24","691","","229",""
"Segeberg","SE","1.693,15","4.693","+5","376","","94",""
"Stormarn","OD","1.707,51","4.169","","376","","129",""
"Kiel","KI","1.516,65","3.743","+18","291","","59",""
"Herzogtum Lauenburg","RZ","1.851,34","3.666","","265","","75",""
"Lübeck","HL","1.655,20","3.584","","279","","75",""
"Rendsburg-Eckernförde","RD","967,17","2.651","","206","","35",""
"Ostholstein","OH","1.200,27","2.407","+1","242","","67",""
"Schleswig-Flensburg","SL","1.071,31","2.155","+6","91","","31",""
"Nordfriesland","NF","1.223,86","2.031","+9","223","","54",""
"Flensburg","FL","2.220,40","2.002","+18","114","","29",""
"Steinburg","IZ","1.259,42","1.650","+5","149","","21",""
"Neumünster","NMS","1.703,33","1.366","+3","96","","9",""
"Dithmarschen","HEI","869,42","1.158","+8","98","+2","20",""
"Plön","PLO","747,56","962","","119","","18",""
"-"
"Schleswig-Holstein","SH","1.484,38","43.103","+97","3.616","+2","945",""

"Datenstand 15.08.2021 20:36:09"
