"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.988,91","6.287","+6","667","","226",""
"Segeberg","SE","1.574,10","4.363","+1","366","+1","93",""
"Stormarn","OD","1.607,17","3.924","+13","358","","127",""
"Herzogtum Lauenburg","RZ","1.746,80","3.459","+3","258","","73",""
"Lübeck","HL","1.495,87","3.239","+12","263","+1","74",""
"Kiel","KI","1.292,58","3.190","+4","271","","58",""
"Rendsburg-Eckernförde","RD","897,49","2.460","","206","","35",""
"Ostholstein","OH","1.138,93","2.284","+5","238","","67",""
"Schleswig-Flensburg","SL","995,25","2.002","+4","88","","31",""
"Nordfriesland","NF","1.107,56","1.838","+2","210","","54",""
"Flensburg","FL","1.978,62","1.784","+1","110","","29",""
"Steinburg","IZ","1.151,79","1.509","+2","141","","20",""
"Neumünster","NMS","1.488,85","1.194","+1","89","","9",""
"Dithmarschen","HEI","774,82","1.032","+5","91","","20",""
"Plön","PLO","641,10","825","","107","","18",""
"-"
"Schleswig-Holstein","SH","1.356,51","39.390","+59","3.463","+2","934",""

"Datenstand 20.07.2021 20:44:01"
