"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","258","268","13","0"
"05-09","319","342","8","0"
"10-14","453","458","11","0"
"15-19","786","797","24","0"
"20-24","962","1.022","30","0"
"25-29","925","972","43","0"
"30-34","872","871","62","0"
"35-39","862","781","45","2"
"40-44","838","767","49","2"
"45-49","853","812","80","3"
"50-54","1.037","1.039","96","1"
"55-59","909","920","112","10"
"60-64","594","630","113","12"
"65-69","328","387","112","15"
"70-74","313","289","144","35"
"75-79","344","292","191","48"
"80-84","474","332","251","92"
"85-89","357","178","134","72"
"90+","407","102","107","74"

"Datenstand 26.12.2020 20:03:40"
