"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","32","21"
"03.01.2021","202","37","8"
"04.01.2021","260","34","13"
"05.01.2021","538","53","10"
"06.01.2021","532","37","16"
"07.01.2021","478","31","11"
"08.01.2021","523","42","16"
"09.01.2021","407","33","12"
"10.01.2021","141","17","11"
"11.01.2021","259","45","10"
"12.01.2021","399","43","10"
"13.01.2021","491","44","13"
"14.01.2021","421","37","11"
"15.01.2021","412","57","9"
"16.01.2021","354","30","9"
"17.01.2021","202","23","3"
"18.01.2021","239","24","4"
"19.01.2021","468","37","11"
"20.01.2021","484","41","6"
"21.01.2021","501","39","7"
"22.01.2021","459","30","6"
"23.01.2021","441","33","3"
"24.01.2021","157","20","3"
"25.01.2021","161","28","3"
"26.01.2021","538","25","2"
"27.01.2021","465","29","3"
"28.01.2021","386","24","1"
"29.01.2021","347","20","0"
"30.01.2021","250","7","1"

"Datenstand 30.01.2021 21:40:54"
