"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","867","880","49","1"
"05-09","1.173","1.238","25","0"
"10-14","1.323","1.531","27","0"
"15-19","1.664","1.727","48","0"
"20-24","1.969","2.057","98","0"
"25-29","1.794","1.823","115","0"
"30-34","1.732","1.898","135","2"
"35-39","1.653","1.690","154","2"
"40-44","1.701","1.542","169","1"
"45-49","1.541","1.426","168","4"
"50-54","1.642","1.726","230","15"
"55-59","1.518","1.571","271","24"
"60-64","948","1.093","257","25"
"65-69","541","622","241","43"
"70-74","524","527","302","75"
"75-79","544","495","370","123"
"80-84","834","544","524","227"
"85-89","661","326","347","199"
"90+","704","200","246","216"

"Datenstand 31.08.2021 18:35:32"
