"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.345,44","7.414","+17","718","+1","230",""
"Segeberg","SE","1.837,11","5.092","+4","392","","95",""
"Stormarn","OD","1.848,00","4.512","","407","","133",""
"Kiel","KI","1.769,09","4.366","+7","326","","63",""
"Herzogtum Lauenburg","RZ","2.043,24","4.046","","273","","76",""
"Lübeck","HL","1.839,01","3.982","","287","","75",""
"Rendsburg-Eckernförde","RD","1.040,87","2.853","","214","","36",""
"Ostholstein","OH","1.276,56","2.560","+4","248","","67",""
"Schleswig-Flensburg","SL","1.129,97","2.273","+2","95","","31",""
"Nordfriesland","NF","1.330,51","2.208","+3","232","+1","56","+1"
"Flensburg","FL","2.435,56","2.196","+3","121","","29",""
"Steinburg","IZ","1.422,00","1.863","","156","","22",""
"Neumünster","NMS","1.950,22","1.564","+2","106","","9",""
"Dithmarschen","HEI","1.083,39","1.443","+12","115","","20",""
"Plön","PLO","842,36","1.084","","125","","19",""
"-"
"Schleswig-Holstein","SH","1.634,29","47.456","+54","3.815","+2","961","+1"

"Datenstand 05.09.2021 18:37:02"
