"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","997","1.022","55","1"
"05-09","1.435","1.498","30","0"
"10-14","1.643","1.839","34","0"
"15-19","1.882","1.983","52","0"
"20-24","2.171","2.292","111","0"
"25-29","2.016","2.078","146","0"
"30-34","1.963","2.178","169","2"
"35-39","1.862","1.885","187","3"
"40-44","1.886","1.739","187","4"
"45-49","1.707","1.577","181","4"
"50-54","1.784","1.866","255","18"
"55-59","1.639","1.697","300","25"
"60-64","1.013","1.178","278","26"
"65-69","590","670","259","48"
"70-74","560","561","322","78"
"75-79","582","520","392","130"
"80-84","876","580","551","230"
"85-89","702","342","358","204"
"90+","740","208","254","220"

"Datenstand 06.10.2021 18:50:09"
