"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.969,93","6.227","+8","660","+2","223",""
"Segeberg","SE","1.560,39","4.325","+3","365","","93",""
"Stormarn","OD","1.586,69","3.874","+2","353","","127",""
"Herzogtum Lauenburg","RZ","1.735,19","3.436","+1","256","","73",""
"Lübeck","HL","1.471,85","3.187","+3","260","","74",""
"Kiel","KI","1.277,58","3.153","+2","270","","58",""
"Rendsburg-Eckernförde","RD","887,27","2.432","+2","205","","35",""
"Ostholstein","OH","1.125,47","2.257","","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.092,49","1.813","","210","","54",""
"Flensburg","FL","1.968,63","1.775","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.455,18","1.167","+8","89","+1","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","634,88","817","+2","107","","18",""
"-"
"Schleswig-Holstein","SH","1.342,12","38.972","+31","3.442","+3","931",""

"Datenstand 07.07.2021 18:38:49"
