"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.085,91","3.414","+19","359","+1","177",""
"Segeberg","SE","757,52","2.091","+25","85","+1","65","+1"
"Lübeck","HL","864,19","1.877","+11","210","","64",""
"Stormarn","OD","761,94","1.853","+10","215","+4","99","+4"
"Herzogtum Lauenburg","RZ","823,26","1.624","+13","147","+4","61","+2"
"Schleswig-Flensburg","SL","660,92","1.322","+4","60","","21",""
"Kiel","KI","531,61","1.316","+2","124","","40",""
"Flensburg","FL","1.443,51","1.292","+10","79","+2","25","+1"
"Nordfriesland","NF","737,73","1.221","+11","169","+1","43",""
"Ostholstein","OH","600,26","1.204","+1","171","+3","55",""
"Rendsburg-Eckernförde","RD","430,76","1.175","+3","115","+2","21",""
"Steinburg","IZ","455,28","598","+1","48","+1","7",""
"Neumünster","NMS","699,49","556","","49","","7",""
"Dithmarschen","HEI","312,29","416","+6","38","","7",""
"Plön","PLO","307,04","395","+2","65","+1","12",""
"-"
"Schleswig-Holstein","SH","702,66","20.354","+118","1.934","+20","704","+8"

"Datenstand 15.03.2021 20:30:59"
