"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.375,99","4.326","+27","426","+3","184",""
"Segeberg","SE","1.098,06","3.031","+40","106","","77",""
"Stormarn","OD","988,09","2.403","","242","","104",""
"Lübeck","HL","1.034,54","2.247","+20","227","","64",""
"Herzogtum Lauenburg","RZ","1.058,48","2.088","","166","","64",""
"Kiel","KI","698,85","1.730","+13","160","+1","45",""
"Rendsburg-Eckernförde","RD","571,90","1.560","+16","136","+4","22",""
"Schleswig-Flensburg","SL","775,90","1.552","+8","69","+1","23",""
"Flensburg","FL","1.722,83","1.542","+4","99","","29",""
"Ostholstein","OH","723,90","1.452","+5","187","+2","59",""
"Nordfriesland","NF","805,40","1.333","+6","181","","47",""
"Steinburg","IZ","659,32","866","+14","59","","9",""
"Neumünster","NMS","952,36","757","+3","61","+1","8",""
"Dithmarschen","HEI","436,90","582","+4","51","+2","9",""
"Plön","PLO","373,11","480","+2","74","","12",""
"-"
"Schleswig-Holstein","SH","895,81","25.949","+162","2.244","+14","756",""

"Datenstand 04.04.2021 20:05:17"
