"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.385,22","4.355","+29","430","+4","184",""
"Segeberg","SE","1.104,22","3.048","+17","107","+1","77",""
"Stormarn","OD","1.001,66","2.436","+33","242","","104",""
"Lübeck","HL","1.044,67","2.269","+22","228","+1","64",""
"Herzogtum Lauenburg","RZ","1.058,48","2.088","","166","","64",""
"Kiel","KI","698,85","1.730","","160","","46","+1"
"Rendsburg-Eckernförde","RD","577,40","1.575","+15","137","+1","22",""
"Schleswig-Flensburg","SL","776,40","1.553","+1","69","","23",""
"Flensburg","FL","1.730,65","1.549","+7","100","+1","29",""
"Ostholstein","OH","725,39","1.455","+3","187","","59",""
"Nordfriesland","NF","806,61","1.335","+2","182","+1","47",""
"Steinburg","IZ","666,94","876","+10","59","","9",""
"Neumünster","NMS","983,81","782","+25","61","","8",""
"Dithmarschen","HEI","439,91","586","+4","51","","9",""
"Plön","PLO","375,45","483","+3","74","","13","+1"
"-"
"Schleswig-Holstein","SH","901,71","26.120","+171","2.253","+9","758","+2"

"Datenstand 05.04.2021 20:09:25"
