"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.072,43","6.551","+26","677","+1","227",""
"Segeberg","SE","1.630,74","4.520","+17","375","+3","94",""
"Stormarn","OD","1.651,81","4.033","+20","365","+2","129",""
"Herzogtum Lauenburg","RZ","1.788,72","3.542","+10","261","","75",""
"Lübeck","HL","1.573,45","3.407","+23","275","+3","75",""
"Kiel","KI","1.369,97","3.381","+25","279","","59",""
"Rendsburg-Eckernförde","RD","921,57","2.526","+16","206","","35",""
"Ostholstein","OH","1.178,32","2.363","+15","240","","67",""
"Schleswig-Flensburg","SL","1.018,61","2.049","+6","88","","31",""
"Nordfriesland","NF","1.160,58","1.926","+6","218","","54",""
"Flensburg","FL","2.051,82","1.850","+9","111","","29",""
"Steinburg","IZ","1.198,35","1.570","+7","144","","21",""
"Neumünster","NMS","1.588,61","1.274","+12","94","","9",""
"Dithmarschen","HEI","810,85","1.080","+4","93","","20",""
"Plön","PLO","684,61","881","+14","109","","18",""
"-"
"Schleswig-Holstein","SH","1.410,34","40.953","+210","3.535","+9","943",""

"Datenstand 04.08.2021 19:32:24"
