"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.146,77","6.786","+20","689","+4","229",""
"Segeberg","SE","1.675,48","4.644","+14","376","","94",""
"Stormarn","OD","1.696,87","4.143","+12","375","+1","129",""
"Kiel","KI","1.485,85","3.667","+45","289","+2","59",""
"Herzogtum Lauenburg","RZ","1.846,29","3.656","+9","264","+1","75",""
"Lübeck","HL","1.637,65","3.546","+23","279","","75",""
"Rendsburg-Eckernförde","RD","957,69","2.625","+15","206","","35",""
"Ostholstein","OH","1.194,78","2.396","","241","","67",""
"Schleswig-Flensburg","SL","1.056,89","2.126","+13","90","","31",""
"Nordfriesland","NF","1.208,79","2.006","+9","221","","54",""
"Flensburg","FL","2.162,73","1.950","+18","113","+1","29",""
"Steinburg","IZ","1.236,52","1.620","+10","149","+2","21",""
"Neumünster","NMS","1.679,63","1.347","+8","96","","9",""
"Dithmarschen","HEI","850,65","1.133","+8","96","","20",""
"Plön","PLO","735,90","947","+13","117","+3","18",""
"-"
"Schleswig-Holstein","SH","1.466,78","42.592","+217","3.601","+14","945",""

"Datenstand 12.08.2021 19:25:09"
