"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.635,53","8.331","+3","790","+1","241",""
"Segeberg","SE","2.069,45","5.736","+27","449","+1","100",""
"Stormarn","OD","2.136,75","5.217","+35","460","+3","140",""
"Kiel","KI","2.088,38","5.154","+40","382","+6","67",""
"Herzogtum Lauenburg","RZ","2.251,80","4.459","+39","293","+1","79",""
"Lübeck","HL","2.038,05","4.413","+30","294","","75",""
"Rendsburg-Eckernförde","RD","1.248,82","3.423","+41","233","","42",""
"Ostholstein","OH","1.400,23","2.808","+15","262","","67",""
"Schleswig-Flensburg","SL","1.232,38","2.479","+7","106","+1","32",""
"Flensburg","FL","2.666,25","2.404","+13","125","","29",""
"Nordfriesland","NF","1.440,18","2.390","+10","254","","57","+1"
"Steinburg","IZ","1.569,31","2.056","+13","174","","27","+2"
"Neumünster","NMS","2.348,00","1.883","+18","127","+2","10",""
"Dithmarschen","HEI","1.267,33","1.688","+13","139","+1","23",""
"Plön","PLO","1.009,43","1.299","+20","148","+2","22",""
"-"
"Schleswig-Holstein","SH","1.850,70","53.740","+324","4.236","+18","1.011","+3"

"Datenstand 19.10.2021 19:28:15"
