"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.830,10","5.785","+30","580","+17","206","+3"
"Segeberg","SE","1.466,58","4.065","+6","212","+3","89","+1"
"Stormarn","OD","1.463,00","3.572","+10","322","+1","117",""
"Herzogtum Lauenburg","RZ","1.632,67","3.233","+26","219","+4","69",""
"Lübeck","HL","1.354,55","2.933","+5","258","+1","72","+1"
"Kiel","KI","1.158,05","2.858","+11","237","+3","53",""
"Rendsburg-Eckernförde","RD","809,20","2.218","+1","185","+2","30",""
"Ostholstein","OH","1.067,62","2.141","+3","230","+1","65",""
"Schleswig-Flensburg","SL","960,45","1.932","+5","82","+1","29",""
"Flensburg","FL","1.935,36","1.745","+2","106","","29",""
"Nordfriesland","NF","1.010,54","1.677","+5","205","","52","+1"
"Steinburg","IZ","1.078,52","1.413","+1","103","","16",""
"Neumünster","NMS","1.364,16","1.094","+4","83","","9",""
"Dithmarschen","HEI","726,76","968","+7","82","+1","12",""
"Plön","PLO","589,81","759","+3","96","","16",""
"-"
"Schleswig-Holstein","SH","1.253,30","36.393","+119","3.000","+34","864","+6"

"Datenstand 14.05.2021 19:06:55"
