"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","838","829","45","1"
"05-09","1.122","1.174","25","0"
"10-14","1.244","1.445","27","0"
"15-19","1.607","1.650","46","0"
"20-24","1.904","1.972","96","0"
"25-29","1.744","1.753","109","0"
"30-34","1.665","1.821","129","2"
"35-39","1.601","1.643","152","2"
"40-44","1.641","1.484","166","1"
"45-49","1.504","1.390","166","3"
"50-54","1.614","1.691","225","15"
"55-59","1.496","1.545","266","23"
"60-64","929","1.073","253","25"
"65-69","531","614","239","42"
"70-74","517","522","298","75"
"75-79","538","490","369","122"
"80-84","828","539","515","224"
"85-89","660","325","347","198"
"90+","697","199","243","215"

"Datenstand 24.08.2021 18:37:23"
