"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.739,31","5.498","+20","521","","196",""
"Segeberg","SE","1.399,12","3.878","+14","165","","87",""
"Stormarn","OD","1.359,79","3.320","+5","305","+1","115",""
"Herzogtum Lauenburg","RZ","1.504,40","2.979","","199","","69",""
"Lübeck","HL","1.270,49","2.751","+17","249","","69",""
"Kiel","KI","1.026,36","2.533","+15","213","+2","50",""
"Rendsburg-Eckernförde","RD","762,14","2.089","+5","174","+1","28",""
"Ostholstein","OH","998,31","2.002","+1","218","+2","63","+1"
"Schleswig-Flensburg","SL","923,16","1.857","","74","","26",""
"Flensburg","FL","1.894,33","1.708","","103","","29",""
"Nordfriesland","NF","954,50","1.584","+1","200","+2","49",""
"Steinburg","IZ","993,79","1.302","+7","91","","12",""
"Neumünster","NMS","1.236,97","992","+8","77","","8",""
"Dithmarschen","HEI","669,70","892","+4","77","+1","11",""
"Plön","PLO","532,30","685","+1","84","","14",""
"-"
"Schleswig-Holstein","SH","1.173,30","34.070","+98","2.750","+9","826","+1"

"Datenstand 02.05.2021 19:28:03"
