"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.971,19","6.231","","662","+1","226","+3"
"Segeberg","SE","1.561,47","4.328","+2","365","","93",""
"Stormarn","OD","1.587,92","3.877","","354","+1","127",""
"Herzogtum Lauenburg","RZ","1.737,21","3.440","+2","256","","73",""
"Lübeck","HL","1.473,70","3.191","","260","","74",""
"Kiel","KI","1.279,20","3.157","+2","270","","58",""
"Rendsburg-Eckernförde","RD","888,73","2.436","+2","205","","35",""
"Ostholstein","OH","1.125,97","2.258","","237","","67",""
"Schleswig-Flensburg","SL","987,79","1.987","+1","88","","31",""
"Nordfriesland","NF","1.093,09","1.814","+2","210","","54",""
"Flensburg","FL","1.968,63","1.775","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.460,17","1.171","+1","89","","9",""
"Dithmarschen","HEI","765,81","1.020","+1","91","","20",""
"Plön","PLO","636,43","819","+1","107","","18",""
"-"
"Schleswig-Holstein","SH","1.343,36","39.008","+14","3.445","+2","934","+3"

"Datenstand 09.07.2021 18:57:54"
