"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","28","26","3","0"
"05-09","22","20","0","0"
"10-14","43","42","1","0"
"15-19","80","87","0","0"
"20-24","153","144","1","0"
"25-29","154","120","5","0"
"30-34","119","146","6","0"
"35-39","101","122","12","0"
"40-44","118","83","3","0"
"45-49","118","92","4","0"
"50-54","147","127","9","0"
"55-59","133","110","12","0"
"60-64","100","86","12","0"
"65-69","49","59","7","0"
"70-74","56","61","17","0"
"75-79","72","76","23","7"
"80-84","128","82","42","7"
"85-89","111","44","24","6"
"90+","113","35","19","5"

"Datenstand 10.01.2021 20:16:19"
