"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.002,57","3.152","+99","280","+1","60",""
"Stormarn","OD","924,36","2.248","+53","114","","64",""
"Segeberg","SE","708,61","1.956","+26","129","","41",""
"Lübeck","HL","784,08","1.703","+122","69","+1","10",""
"Kiel","KI","685,12","1.696","+33","169","","22","+1"
"Herzogtum Lauenburg","RZ","663,58","1.309","+28","81","","25",""
"Rendsburg-Eckernförde","RD","446,52","1.218","+38","113","+6","17",""
"Dithmarschen","HEI","572,78","763","+16","81","","14",""
"Nordfriesland","NF","444,09","735","+11","57","+3","4",""
"Ostholstein","OH","350,98","704","","49","","5",""
"Schleswig-Flensburg","SL","292,96","586","+14","41","+1","7",""
"Neumünster","NMS","708,29","563","","35","","6",""
"Steinburg","IZ","403,51","530","+17","46","","4",""
"Plön","PLO","327,25","421","+10","59","","8",""
"Flensburg","FL","408,92","366","+5","18","","4",""
"-"
"Schleswig-Holstein","SH","619,67","17.950","+472","1.341","+12","291","+1"

"Datenstand 12.12.2020 20:47:24"
