"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","502","519","21","1"
"05-09","551","625","9","0"
"10-14","583","704","16","0"
"15-19","916","953","27","0"
"20-24","1.241","1.253","47","0"
"25-29","1.167","1.177","61","0"
"30-34","1.139","1.286","67","1"
"35-39","1.057","1.168","84","0"
"40-44","1.140","1.020","89","1"
"45-49","1.065","962","102","2"
"50-54","1.205","1.264","132","4"
"55-59","1.161","1.160","161","16"
"60-64","717","809","154","19"
"65-69","420","480","167","33"
"70-74","428","430","218","62"
"75-79","468","419","286","102"
"80-84","749","487","434","192"
"85-89","617","291","282","178"
"90+","652","184","195","191"

"Datenstand 21.04.2021 18:35:12"
