"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","833,68","2.621","+59","248","+3","53",""
"Stormarn","OD","747,55","1.818","+28","102","+1","59","+1"
"Segeberg","SE","610,80","1.686","+28","119","","35",""
"Kiel","KI","534,44","1.323","+25","151","+2","16",""
"Lübeck","HL","577,35","1.254","","54","","6",""
"Herzogtum Lauenburg","RZ","562,70","1.110","+38","77","","24",""
"Rendsburg-Eckernförde","RD","356,34","972","+16","97","","17",""
"Nordfriesland","NF","410,86","680","+2","53","+1","4",""
"Ostholstein","OH","313,09","628","+16","43","+1","3",""
"Dithmarschen","HEI","468,43","624","+9","70","+1","14",""
"Schleswig-Flensburg","SL","261,47","523","+1","38","","7",""
"Neumünster","NMS","582,49","463","","33","","6",""
"Steinburg","IZ","343,37","451","+6","41","-1","4",""
"Plön","PLO","265,84","342","+10","57","","8",""
"Flensburg","FL","363,11","325","+2","17","","3",""
"-"
"Schleswig-Holstein","SH","511,61","14.820","+240","1.200","+8","259","+1"

"Datenstand 02.12.2020 20:06:11"
