"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","259","266","13","0"
"05-09","322","343","8","0"
"10-14","456","460","11","0"
"15-19","790","802","24","0"
"20-24","974","1.030","30","0"
"25-29","928","980","43","0"
"30-34","884","876","62","0"
"35-39","866","784","46","2"
"40-44","843","773","49","2"
"45-49","860","818","81","3"
"50-54","1.044","1.043","96","1"
"55-59","917","926","113","10"
"60-64","602","631","113","13"
"65-69","331","390","114","15"
"70-74","316","291","146","35"
"75-79","350","297","197","49"
"80-84","485","342","259","92"
"85-89","366","179","136","77"
"90+","423","107","110","77"

"Datenstand 27.12.2020 20:16:02"
