"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","907","924","50","1"
"05-09","1.256","1.307","25","0"
"10-14","1.402","1.609","27","0"
"15-19","1.729","1.802","51","0"
"20-24","2.014","2.120","99","0"
"25-29","1.863","1.886","121","0"
"30-34","1.814","1.976","151","2"
"35-39","1.712","1.743","162","3"
"40-44","1.752","1.588","175","2"
"45-49","1.585","1.475","169","4"
"50-54","1.677","1.752","234","16"
"55-59","1.547","1.601","276","25"
"60-64","964","1.117","260","25"
"65-69","547","628","246","44"
"70-74","528","531","305","77"
"75-79","551","499","375","123"
"80-84","842","550","526","227"
"85-89","663","327","348","200"
"90+","707","201","247","217"

"Datenstand 07.09.2021 18:39:21"
