"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","687","685","33","1"
"05-09","806","872","15","0"
"10-14","830","1.012","21","0"
"15-19","1.211","1.269","34","0"
"20-24","1.546","1.575","72","0"
"25-29","1.436","1.453","86","0"
"30-34","1.405","1.571","102","2"
"35-39","1.336","1.413","116","2"
"40-44","1.376","1.276","126","1"
"45-49","1.325","1.192","146","3"
"50-54","1.452","1.522","190","9"
"55-59","1.378","1.406","226","20"
"60-64","855","976","224","23"
"65-69","488","565","212","40"
"70-74","494","499","272","71"
"75-79","524","472","343","118"
"80-84","801","520","494","217"
"85-89","641","315","326","194"
"90+","677","193","230","208"

"Datenstand 03.06.2021 19:23:57"
