"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.164,48","6.842","+18","691","+1","229",""
"Segeberg","SE","1.691,35","4.688","+23","376","","94",""
"Stormarn","OD","1.707,51","4.169","","376","","129",""
"Kiel","KI","1.509,36","3.725","+19","291","","59",""
"Herzogtum Lauenburg","RZ","1.851,34","3.666","","265","","75",""
"Lübeck","HL","1.655,20","3.584","+38","279","","75",""
"Rendsburg-Eckernförde","RD","967,17","2.651","+14","206","","35",""
"Ostholstein","OH","1.199,77","2.406","+3","242","","67",""
"Schleswig-Flensburg","SL","1.068,33","2.149","+14","91","","31",""
"Nordfriesland","NF","1.218,43","2.022","+4","223","+1","54",""
"Flensburg","FL","2.200,43","1.984","+14","114","","29",""
"Steinburg","IZ","1.255,60","1.645","+11","149","","21",""
"Neumünster","NMS","1.699,59","1.363","+4","96","","9",""
"Dithmarschen","HEI","863,41","1.150","+11","96","","20",""
"Plön","PLO","747,56","962","+4","119","","18",""
"-"
"Schleswig-Holstein","SH","1.481,04","43.006","+177","3.614","+2","945",""

"Datenstand 14.08.2021 18:41:08"
