"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","33","21"
"03.01.2021","202","37","8"
"04.01.2021","260","34","13"
"05.01.2021","538","53","10"
"06.01.2021","533","37","16"
"07.01.2021","478","31","11"
"08.01.2021","523","42","16"
"09.01.2021","407","33","12"
"10.01.2021","141","17","11"
"11.01.2021","259","45","10"
"12.01.2021","399","44","11"
"13.01.2021","491","44","13"
"14.01.2021","421","37","11"
"15.01.2021","412","58","9"
"16.01.2021","354","31","10"
"17.01.2021","201","23","3"
"18.01.2021","239","24","4"
"19.01.2021","468","37","13"
"20.01.2021","484","41","7"
"21.01.2021","501","39","8"
"22.01.2021","459","31","7"
"23.01.2021","446","35","5"
"24.01.2021","157","21","3"
"25.01.2021","161","30","3"
"26.01.2021","538","34","3"
"27.01.2021","464","43","3"
"28.01.2021","386","30","1"
"29.01.2021","348","24","1"
"30.01.2021","265","10","1"
"31.01.2021","164","12","0"

"Datenstand 31.01.2021 20:38:40"
