"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.641,24","5.188","+63","494","+5","195",""
"Segeberg","SE","1.332,73","3.694","+31","148","+4","84",""
"Stormarn","OD","1.255,75","3.066","+35","292","+3","111",""
"Herzogtum Lauenburg","RZ","1.412,49","2.797","+21","186","+1","67",""
"Lübeck","HL","1.220,15","2.642","+31","243","+1","68",""
"Kiel","KI","920,61","2.272","+30","195","","50","+1"
"Rendsburg-Eckernförde","RD","708,14","1.941","+19","160","","27",""
"Ostholstein","OH","922,02","1.849","+30","207","+2","62",""
"Schleswig-Flensburg","SL","880,91","1.772","+14","73","","25",""
"Flensburg","FL","1.844,42","1.663","+10","103","","29",""
"Nordfriesland","NF","905,69","1.503","+12","196","","49",""
"Steinburg","IZ","911,36","1.194","+23","88","+1","11",""
"Neumünster","NMS","1.153,42","925","+8","70","","8",""
"Dithmarschen","HEI","609,64","812","+18","67","","9",""
"Plön","PLO","488,79","629","+7","81","+1","14",""
"-"
"Schleswig-Holstein","SH","1.100,19","31.947","+352","2.603","+18","809","+1"

"Datenstand 23.04.2021 19:47:49"
