"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","466","486","20","1"
"05-09","484","578","9","0"
"10-14","523","628","14","0"
"15-19","860","868","26","0"
"20-24","1.174","1.190","46","0"
"25-29","1.125","1.113","59","0"
"30-34","1.071","1.210","66","1"
"35-39","981","1.083","78","0"
"40-44","1.077","950","87","1"
"45-49","994","910","91","2"
"50-54","1.137","1.181","121","3"
"55-59","1.102","1.105","151","14"
"60-64","677","781","144","19"
"65-69","401","458","159","32"
"70-74","401","412","210","60"
"75-79","451","403","278","99"
"80-84","735","479","425","191"
"85-89","614","290","282","176"
"90+","651","180","191","188"

"Datenstand 15.04.2021 19:16:38"
