"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.003","1.036","55","1"
"05-09","1.452","1.522","31","0"
"10-14","1.661","1.854","34","0"
"15-19","1.897","1.997","53","0"
"20-24","2.185","2.317","114","0"
"25-29","2.044","2.104","149","0"
"30-34","1.982","2.198","170","2"
"35-39","1.879","1.900","190","4"
"40-44","1.901","1.749","187","4"
"45-49","1.719","1.597","181","4"
"50-54","1.804","1.888","258","18"
"55-59","1.657","1.709","303","25"
"60-64","1.022","1.184","281","27"
"65-69","599","677","262","50"
"70-74","567","571","325","80"
"75-79","587","524","395","130"
"80-84","885","582","555","231"
"85-89","710","345","363","207"
"90+","744","210","254","221"

"Datenstand 11.10.2021 18:42:39"
