"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","617","624","27","1"
"05-09","689","769","12","0"
"10-14","734","889","16","0"
"15-19","1.091","1.155","29","0"
"20-24","1.426","1.463","63","0"
"25-29","1.342","1.351","71","0"
"30-34","1.298","1.469","84","1"
"35-39","1.237","1.312","99","1"
"40-44","1.291","1.192","109","1"
"45-49","1.224","1.098","122","2"
"50-54","1.359","1.415","153","6"
"55-59","1.296","1.319","191","19"
"60-64","807","907","181","20"
"65-69","459","539","188","34"
"70-74","472","471","246","67"
"75-79","505","450","317","109"
"80-84","782","510","459","202"
"85-89","630","307","293","185"
"90+","667","188","207","194"

"Datenstand 09.05.2021 18:41:04"
