"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.513,10","7.944","+17","755","","240",""
"Segeberg","SE","1.951,11","5.408","+21","426","+3","99",""
"Stormarn","OD","1.983,98","4.844","+41","438","+1","137",""
"Kiel","KI","1.953,05","4.820","+25","360","+5","66",""
"Herzogtum Lauenburg","RZ","2.168,48","4.294","+4","282","-1","77",""
"Lübeck","HL","1.957,70","4.239","+10","292","+1","75",""
"Rendsburg-Eckernförde","RD","1.173,30","3.216","+36","228","+1","38",""
"Ostholstein","OH","1.344,88","2.697","+9","259","","68",""
"Schleswig-Flensburg","SL","1.183,16","2.380","+6","101","","31",""
"Nordfriesland","NF","1.395,59","2.316","+2","242","","56",""
"Flensburg","FL","2.554,23","2.303","+8","122","","29",""
"Steinburg","IZ","1.495,27","1.959","+5","167","","22",""
"Neumünster","NMS","2.184,65","1.752","+10","115","","9",""
"Dithmarschen","HEI","1.205,77","1.606","+14","131","+1","21",""
"Plön","PLO","944,94","1.216","+7","141","+1","21",""
"-"
"Schleswig-Holstein","SH","1.756,13","50.994","+215","4.059","+12","989",""

"Datenstand 28.09.2021 19:06:19"
