"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.897,80","5.999","+10","624","","217","+1"
"Segeberg","SE","1.518,54","4.209","+7","258","","91",""
"Stormarn","OD","1.526,48","3.727","+7","342","","122",""
"Herzogtum Lauenburg","RZ","1.698,83","3.364","+7","232","+5","69",""
"Lübeck","HL","1.430,75","3.098","+3","259","","74",""
"Kiel","KI","1.243,14","3.068","+10","256","","55","+1"
"Rendsburg-Eckernförde","RD","863,56","2.367","+10","201","","34",""
"Ostholstein","OH","1.110,01","2.226","+7","236","","66",""
"Schleswig-Flensburg","SL","976,85","1.965","+2","85","","30",""
"Flensburg","FL","1.950,89","1.759","+1","109","","29",""
"Nordfriesland","NF","1.050,91","1.744","+4","209","+3","53",""
"Steinburg","IZ","1.132,71","1.484","+1","128","","19",""
"Neumünster","NMS","1.420,27","1.139","","86","","9",""
"Dithmarschen","HEI","752,29","1.002","","87","","15",""
"Plön","PLO","623,22","802","+2","100","","17",""
"-"
"Schleswig-Holstein","SH","1.307,02","37.953","+71","3.212","+8","900","+2"

"Datenstand 29.05.2021 19:44:08"
