"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","950","965","51","1"
"05-09","1.332","1.394","26","0"
"10-14","1.502","1.709","30","0"
"15-19","1.805","1.920","52","0"
"20-24","2.093","2.196","105","0"
"25-29","1.937","1.995","135","0"
"30-34","1.873","2.087","159","2"
"35-39","1.783","1.802","171","3"
"40-44","1.810","1.663","181","4"
"45-49","1.645","1.521","175","4"
"50-54","1.728","1.803","242","16"
"55-59","1.592","1.641","285","25"
"60-64","976","1.150","268","26"
"65-69","563","648","254","46"
"70-74","542","542","311","77"
"75-79","558","511","380","126"
"80-84","857","564","538","231"
"85-89","681","337","352","203"
"90+","727","206","252","218"

"Datenstand 19.09.2021 18:58:56"
