"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","100","106","8","0"
"05-09","138","124","4","0"
"10-14","170","157","5","0"
"15-19","291","273","9","0"
"20-24","386","462","16","0"
"25-29","383","429","25","0"
"30-34","363","366","32","0"
"35-39","331","315","20","2"
"40-44","311","312","22","1"
"45-49","315","338","38","3"
"50-54","406","413","39","0"
"55-59","370","412","69","6"
"60-64","242","255","59","8"
"65-69","133","153","63","10"
"70-74","133","124","68","24"
"75-79","157","123","111","30"
"80-84","184","156","138","44"
"85-89","110","56","68","31"
"90+","107","35","46","35"

"Datenstand 05.11.2020 21:34:58"
