"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","186","199","11","0"
"05-09","173","218","3","0"
"10-14","237","263","9","0"
"15-19","456","444","13","0"
"20-24","682","663","23","0"
"25-29","668","632","30","0"
"30-34","607","670","40","0"
"35-39","551","578","44","0"
"40-44","597","472","40","0"
"45-49","635","486","44","1"
"50-54","694","667","72","3"
"55-59","682","622","89","8"
"60-64","425","447","100","9"
"65-69","248","295","111","23"
"70-74","257","283","144","42"
"75-79","344","304","209","70"
"80-84","614","382","330","146"
"85-89","539","241","216","143"
"90+","587","164","155","160"

"Datenstand 27.02.2021 20:08:02"
