"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","798","781","43","1"
"05-09","1.016","1.070","22","0"
"10-14","1.118","1.303","23","0"
"15-19","1.523","1.568","43","0"
"20-24","1.817","1.873","93","0"
"25-29","1.641","1.669","104","0"
"30-34","1.597","1.752","124","2"
"35-39","1.536","1.586","142","2"
"40-44","1.570","1.433","157","1"
"45-49","1.461","1.332","161","3"
"50-54","1.556","1.640","213","15"
"55-59","1.465","1.506","258","22"
"60-64","908","1.047","248","25"
"65-69","517","599","235","42"
"70-74","511","516","297","75"
"75-79","531","479","362","121"
"80-84","820","534","511","224"
"85-89","652","321","341","198"
"90+","689","195","238","214"

"Datenstand 15.08.2021 20:36:09"
