"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","605,93","1.905","","202","","49",""
"Stormarn","OD","597,46","1.453","+11","72","","47",""
"Segeberg","SE","484,36","1.337","+29","101","","31","+2"
"Lübeck","HL","447,98","973","+17","41","+2","5","+1"
"Kiel","KI","377,70","935","+14","124","+6","16",""
"Herzogtum Lauenburg","RZ","422,78","834","+1","64","+1","22","+1"
"Rendsburg-Eckernförde","RD","298,78","815","+7","82","","16",""
"Nordfriesland","NF","358,29","593","+5","43","","3",""
"Dithmarschen","HEI","382,85","510","+2","64","","13",""
"Schleswig-Flensburg","SL","243,97","488","+3","37","","6",""
"Ostholstein","OH","232,33","466","+3","31","+1","1",""
"Neumünster","NMS","474,29","377","+8","23","+3","4","+1"
"Steinburg","IZ","281,70","370","","36","","3",""
"Plön","PLO","219,98","283","","53","","8",""
"Flensburg","FL","311,72","279","","11","","3",""
"-"
"Schleswig-Holstein","SH","401,08","11.618","+100","984","+13","227","+5"

"Datenstand 16.11.2020 20:02:45"
