"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","256,37","806","+8","140","","47",""
"Stormarn","OD","241,78","588","","56","","35",""
"Kiel","KI","182,99","453","+2","79","","11",""
"Segeberg","SE","161,94","447","+1","47","","7",""
"Herzogtum Lauenburg","RZ","173,37","342","+2","51","","18",""
"Rendsburg-Eckernförde","RD","123,55","337","","51","","14",""
"Lübeck","HL","114,18","248","","12","","1",""
"Steinburg","IZ","155,31","204","","25","","3",""
"Schleswig-Flensburg","SL","90,99","182","","21","","4",""
"Dithmarschen","HEI","126,12","168","","27","","5",""
"Plön","PLO","122,82","158","","35","","8",""
"Neumünster","NMS","191,23","152","+3","11","+1","3",""
"Ostholstein","OH","58,83","118","","15","","0",""
"Nordfriesland","NF","68,88","114","+1","16","","2",""
"Flensburg","FL","92,73","83","","6","","3",""
"-"
"Schleswig-Holstein","SH","151,90","4.400","+17","592","+1","161",""

"Datenstand 19.09.2020 20:51:15"
