"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","829,22","2.607","+41","259","+9","109","+3"
"Lübeck","HL","639,05","1.388","+56","167","","32","+1"
"Segeberg","SE","464,80","1.283","+29","55","+1","53","+2"
"Stormarn","OD","468,76","1.140","+20","123","+6","34","+5"
"Herzogtum Lauenburg","RZ","494,26","975","+33","54","+1","25","+1"
"Ostholstein","OH","427,26","857","+24","143","+1","32","+8"
"Nordfriesland","NF","505,72","837","+6","140","+3","29",""
"Kiel","KI","336,50","833","+15","97","+1","28",""
"Flensburg","FL","785,44","703","+9","38","+3","15","+1"
"Schleswig-Flensburg","SL","347,96","696","+17","38","+1","15","+1"
"Rendsburg-Eckernförde","RD","250,76","684","+9","78","+2","12",""
"Steinburg","IZ","313,67","412","+26","25","+2","2",""
"Neumünster","NMS","476,81","379","+7","34","+2","6",""
"Dithmarschen","HEI","232,72","310","+4","16","","6",""
"Plön","PLO","190,44","245","+11","50","+3","6",""
"-"
"Schleswig-Holstein","SH","460,83","13.349","+307","1.317","+35","404","+22"

"Datenstand 09.02.2021 21:00:28"
