"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","856","850","47","1"
"05-09","1.150","1.202","25","0"
"10-14","1.279","1.492","27","0"
"15-19","1.635","1.683","47","0"
"20-24","1.936","2.016","97","0"
"25-29","1.775","1.786","109","0"
"30-34","1.695","1.858","132","2"
"35-39","1.625","1.668","154","2"
"40-44","1.666","1.513","169","1"
"45-49","1.520","1.410","166","3"
"50-54","1.625","1.710","227","15"
"55-59","1.509","1.561","271","23"
"60-64","933","1.083","256","25"
"65-69","535","617","241","43"
"70-74","518","523","298","75"
"75-79","540","494","368","123"
"80-84","831","540","517","227"
"85-89","661","326","347","199"
"90+","702","200","244","216"

"Datenstand 27.08.2021 20:03:20"
